;Level1;art;p_text;p_num;p_text_old
21;VII. Schutz der Persönlichkeit des Arbeitnehmers;art_328;Der Arbeitgeber hat im Arbeitsverhältnis die Persönlichkeit des Arbeitnehmers zu achten und zu schützen, auf dessen Gesundheit gebührend Rücksicht zu nehmen und für die Wahrung der Sittlichkeit zu sorgen. Er muss insbesondere dafür sorgen, dass Arbeitnehmerinnen und Arbeitnehmer nicht sexuell belästigt werden und dass den Opfern von sexuellen Belästigungen keine weiteren Nachteile entstehen. Er hat zum Schutz von Leben, Gesundheit und persönlicher Integrität der Arbeitnehmerinnen und Arbeitnehmer die Massnahmen zu treffen, die nach der Erfahrung notwendig, nach dem Stand der Technik anwendbar und den Verhältnissen des Betriebes oder Haushaltes angemessen sind, soweit es mit Rücksicht auf das einzelne Arbeitsverhältnis und die Natur der Arbeitsleistung ihm billigerweise zugemutet werden kann.;para_1 para_2;"{'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1996/1498_1498_1498', 'b': '1996', '#text': 'AS  1498'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1993/1_1248_1163_987', 'b': '1993', '#text': 'BBl  I 1248'}], '#text': 'Zweiter Satz eingefügt durch Anhang Ziff. 3 des Gleichstellungsgesetzes vom  24. März 1995, in Kraft seit 1. Juli 1996 (; ).'}}, '#text': 'Der Arbeitgeber hat im Arbeitsverhältnis die Persönlichkeit des Arbeitnehmers zu achten und zu schützen, auf dessen Gesundheit gebührend Rücksicht zu nehmen und für die Wahrung der Sittlichkeit zu sorgen. Er muss insbesondere dafür sorgen, dass Arbeitnehmerinnen und Arbeitnehmer nicht sexuell belästigt werden und dass den Opfern von sexuellen Belästigungen keine weiteren Nachteile entstehen.'} {'authorialNote': [{'p': {'ref': {'@href': 'https://fedlex.data.admin.ch/eli/oc/1974/1051_1051_1051', 'b': '1974', '#text': 'AS 1051'}, '#text': 'Berichtigt von der Redaktionskommission der BVers (Art. 33 GVG – ).'}}, {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1996/1498_1498_1498', 'b': '1996', '#text': 'AS  1498'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1993/1_1248_1163_987', 'b': '1993', '#text': 'BBl  I 1248'}], '#text': 'Fassung gemäss Anhang Ziff. 3 des Gleichstellungsgesetzes vom 24. März 1995, in Kraft seit 1. Juli 1996 (; ).'}}], '#text': 'Er hat zum Schutz von Leben, Gesundheit und persönlicher Integrität der Arbeitnehmerinnen und Arbeitnehmer die Massnahmen zu treffen, die nach der Erfahrung notwendig, nach dem Stand der Technik anwendbar und den Verhältnissen des Betriebes oder Haushaltes angemessen sind, soweit es mit Rücksicht auf das einzelne Arbeitsverhältnis und die Natur der Arbeitsleistung ihm billigerweise zugemutet werden kann.'}"
22;VII. Schutz der Persönlichkeit des Arbeitnehmers;art_328_a;Lebt der Arbeitnehmer in Hausgemeinschaft mit dem Arbeitgeber, so hat dieser für ausreichende Verpflegung und einwandfreie Unterkunft zu sorgen. Wird der Arbeitnehmer ohne sein Verschulden durch Krankheit oder Unfall an der Arbeitsleistung verhindert, so hat der Arbeitgeber Pflege und ärztliche Behandlung für eine beschränkte Zeit zu gewähren, im ersten Dienstjahr für drei Wochen und nachher für eine angemessene längere Zeit, je nach der Dauer des Arbeitsverhältnisses und den besonderen Umständen. Bei Schwangerschaft und Niederkunft der Arbeitnehmerin hat der Arbeitgeber die gleichen Leistungen zu gewähren.;para_1 para_2 para_3;Lebt der Arbeitnehmer in Hausgemeinschaft mit dem Arbeitgeber, so hat dieser für ausreichende Verpflegung und einwandfreie Unterkunft zu sorgen. Wird der Arbeitnehmer ohne sein Verschulden durch Krankheit oder Unfall an der Arbeitsleistung verhindert, so hat der Arbeitgeber Pflege und ärztliche Behandlung für eine beschränkte Zeit zu gewähren, im ersten Dienstjahr für drei Wochen und nachher für eine angemessene längere Zeit, je nach der Dauer des Arbeitsverhältnisses und den besonderen Umständen. Bei Schwangerschaft und Niederkunft der Arbeitnehmerin hat der Arbeitgeber die gleichen Leistungen zu gewähren.
23;VII. Schutz der Persönlichkeit des Arbeitnehmers;art_328_b;Der Arbeitgeber darf Daten über den Arbeitnehmer nur bearbeiten, soweit sie dessen Eignung für das Arbeitsverhältnis betreffen oder zur Durchführung des Arbeitsvertrages erforderlich sind. Im Übrigen gelten die Bestimmungen des Datenschutzgesetzes vom 25. September 2020.;para;"{'authorialNote': [{'p': {'ref': {'@href': 'https://fedlex.data.admin.ch/eli/cc/2022/491', 'b': '235.1', '#text': 'SR'}}}, {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/2022/491', 'b': '2022', '#text': 'AS  491'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2017/2057', 'b': '2017', '#text': 'BBl  6941'}], '#text': 'Fassung des zweiten Satzes gemäss Anhang 1 Ziff. II 18 des Datenschutzgesetzes vom  25. Sept. 2020, in Kraft seit 1. Sept. 2023 (; ).'}}], '#text': 'Der Arbeitgeber darf Daten über den Arbeitnehmer nur bearbeiten, soweit sie dessen Eignung für das Arbeitsverhältnis betreffen oder zur Durchführung des Arbeitsvertrages erforderlich sind. Im Übrigen gelten die Bestimmungen des Datenschutzgesetzes vom 25. September 2020.'}"
24;VIII. Freizeit, Ferien und Urlaub;art_329;Der Arbeitgeber hat dem Arbeitnehmer jede Woche einen freien Tag zu gewähren, in der Regel den Sonntag oder, wo dies nach den Verhältnissen nicht möglich ist, einen vollen Werktag. Unter besonderen Umständen können dem Arbeitnehmer mit dessen Zustimmung ausnahmsweise mehrere freie Tage zusammenhängend oder statt eines freien Tages zwei freie Halbtage eingeräumt werden. Dem Arbeitnehmer sind im Übrigen die üblichen freien Stunden und Tage und nach erfolgter Kündigung die für das Aufsuchen einer anderen Arbeitsstelle erforderliche Zeit zu gewähren. Bei der Bestimmung der Freizeit ist auf die Interessen des Arbeitgebers wie des Arbeitnehmers angemessen Rücksicht zu nehmen.;para_1 para_2 para_3 para_4;Der Arbeitgeber hat dem Arbeitnehmer jede Woche einen freien Tag zu gewähren, in der Regel den Sonntag oder, wo dies nach den Verhältnissen nicht möglich ist, einen vollen Werktag. Unter besonderen Umständen können dem Arbeitnehmer mit dessen Zustimmung ausnahmsweise mehrere freie Tage zusammenhängend oder statt eines freien Tages zwei freie Halbtage eingeräumt werden. Dem Arbeitnehmer sind im Übrigen die üblichen freien Stunden und Tage und nach erfolgter Kündigung die für das Aufsuchen einer anderen Arbeitsstelle erforderliche Zeit zu gewähren. Bei der Bestimmung der Freizeit ist auf die Interessen des Arbeitgebers wie des Arbeitnehmers angemessen Rücksicht zu nehmen.
25;VIII. Freizeit, Ferien und Urlaub;art_329_a;Der Arbeitgeber hat dem Arbeitnehmer jedes Dienstjahr wenigstens vier Wochen, dem Arbeitnehmer bis zum vollendeten 20. Altersjahr wenigstens fünf Wochen Ferien zu gewähren. … Für ein unvollständiges Dienstjahr sind Ferien entsprechend der Dauer des Arbeitsverhältnisses im betreffenden Dienstjahr zu gewähren.;para_1 para_2 para_3;"{'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1984/580_580_580', 'b': '1984', '#text': 'AS  580'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1982/3_201_177_161', 'b': '1982', '#text': 'BBl  III 201'}], '#text': 'Fassung gemäss Ziff. I des BG vom 16. Dez. 1983, in Kraft seit 1. Juli 1984  (; ).'}}, '#text': 'Der Arbeitgeber hat dem Arbeitnehmer jedes Dienstjahr wenigstens vier Wochen, dem Arbeitnehmer bis zum vollendeten 20. Altersjahr wenigstens fünf Wochen Ferien zu gewähren.'} {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1984/580_580_580', 'b': '1984', '#text': 'AS  580'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1982/3_201_177_161', 'b': '1982', '#text': 'BBl  III 201'}], '#text': 'Aufgehoben durch Ziff. I des BG vom 16. Dez. 1983, mit Wirkung seit 1. Juli 1984  (; ).'}}, '#text': '…'} Für ein unvollständiges Dienstjahr sind Ferien entsprechend der Dauer des Arbeitsverhältnisses im betreffenden Dienstjahr zu gewähren."
26;VIII. Freizeit, Ferien und Urlaub;art_329_b;Ist der Arbeitnehmer durch sein Verschulden während eines Dienstjahres insgesamt um mehr als einen Monat an der Arbeitsleistung verhindert, so kann der Arbeitgeber die Ferien für jeden vollen Monat der Verhinderung um einen Zwölftel kürzen. Beträgt die Verhinderung insgesamt nicht mehr als einen Monat im Dienstjahr und ist sie durch Gründe, die in der Person des Arbeitnehmers liegen, wie Krankheit, Unfall, Erfüllung gesetzlicher Pflichten, Ausübung eines öffentlichen Amtes oder Jugendurlaub, ohne Verschulden des Arbeitnehmers verursacht, so dürfen die Ferien vom Arbeitgeber nicht gekürzt werden. Durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann eine von den Absätzen 2 und 3 abweichende Regelung getroffen werden, wenn sie für den Arbeitnehmer im Ganzen mindestens gleichwertig ist.;para_1 para_2 para_4;"{'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1982/2184_2184_2184', 'b': '1982', '#text': 'AS  2184'}, {'@href': 'https://fedlex.data.admin.ch/eli/oc/1983/1204_1204_1204', 'b': '1983', '#text': '1204'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1980/3_489_485_469', 'b': '1980', '#text': 'BBl  III 489'}], '#text': 'Fassung gemäss Art. 117 des Arbeitslosenversicherungsgesetzes, in Kraft seit 1. Jan. 1984 (, ; ).'}}, '#text': 'Ist der Arbeitnehmer durch sein Verschulden während eines Dienstjahres insgesamt um mehr als einen Monat an der Arbeitsleistung verhindert, so kann der Arbeitgeber die Ferien für jeden vollen Monat der Verhinderung um einen Zwölftel kürzen.'} {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1990/2007_2007_2007', 'b': '1990', '#text': 'AS  2007'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1988/1_825_777_641', 'b': '1988', '#text': 'BBl  I 825'}], '#text': 'Fassung gemäss Art. 13 des JFG vom 6. Okt. 1989, in Kraft seit 1. Jan. 1991  (; ).'}}, '#text': 'Beträgt die Verhinderung insgesamt nicht mehr als einen Monat im Dienstjahr und ist sie durch Gründe, die in der Person des Arbeitnehmers liegen, wie Krankheit, Unfall, Erfüllung gesetzlicher Pflichten, Ausübung eines öffentlichen Amtes oder Jugendurlaub, ohne Verschulden des Arbeitnehmers verursacht, so dürfen die Ferien vom Arbeitgeber nicht gekürzt werden.'} {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1984/580_580_580', 'b': '1984', '#text': 'AS  580'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1982/3_201_177_161', 'b': '1982', '#text': 'BBl  III 201'}], '#text': 'Eingefügt durch Ziff. I des BG vom 16. Dez. 1983, in Kraft seit 1. Juli 1984  (; ).'}}, '#text': 'Durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann eine von den Absätzen 2 und 3 abweichende Regelung getroffen werden, wenn sie für den Arbeitnehmer im Ganzen mindestens gleichwertig ist.'}"
27;VIII. Freizeit, Ferien und Urlaub;art_329_c;"Die Ferien sind in der Regel im Verlauf des betreffenden Dienstjahres zu gewähren; wenigstens zwei Ferienwochen müssen zusammenhängen. Der Arbeitgeber bestimmt den Zeitpunkt der Ferien und nimmt dabei auf die Wünsche des Arbeitnehmers soweit Rücksicht, als dies mit den Interessen des Betriebes oder Haushaltes vereinbar ist.";para_1 para_2;"{'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1984/580_580_580', 'b': '1984', '#text': 'AS  580'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1982/3_201_177_161', 'b': '1982', '#text': 'BBl  III 201'}], '#text': 'Fassung gemäss Ziff. I des BG vom 16. Dez. 1983, in Kraft seit 1. Juli 1984  (; ).'}}, '#text': 'Die Ferien sind in der Regel im Verlauf des betreffenden Dienstjahres zu gewähren; wenigstens zwei Ferienwochen müssen zusammenhängen.'} Der Arbeitgeber bestimmt den Zeitpunkt der Ferien und nimmt dabei auf die Wünsche des Arbeitnehmers soweit Rücksicht, als dies mit den Interessen des Betriebes oder Haushaltes vereinbar ist."
28;VIII. Freizeit, Ferien und Urlaub;art_329_d;Der Arbeitgeber hat dem Arbeitnehmer für die Ferien den gesamten darauf entfallenden Lohn und eine angemessene Entschädigung für ausfallenden Naturallohn zu entrichten. Die Ferien dürfen während der Dauer des Arbeitsverhältnisses nicht durch Geldleistungen oder andere Vergünstigungen abgegolten werden. Leistet der Arbeitnehmer während der Ferien entgeltliche Arbeit für einen Dritten und werden dadurch die berechtigten Interessen des Arbeitgebers verletzt, so kann dieser den Ferienlohn verweigern und bereits bezahlten Ferienlohn zurückverlangen.;para_1 para_2 para_3;Der Arbeitgeber hat dem Arbeitnehmer für die Ferien den gesamten darauf entfallenden Lohn und eine angemessene Entschädigung für ausfallenden Naturallohn zu entrichten. Die Ferien dürfen während der Dauer des Arbeitsverhältnisses nicht durch Geldleistungen oder andere Vergünstigungen abgegolten werden. Leistet der Arbeitnehmer während der Ferien entgeltliche Arbeit für einen Dritten und werden dadurch die berechtigten Interessen des Arbeitgebers verletzt, so kann dieser den Ferienlohn verweigern und bereits bezahlten Ferienlohn zurückverlangen.
29;VIII. Freizeit, Ferien und Urlaub;art_329_e;"Der Arbeitgeber hat dem Arbeitnehmer bis zum vollendeten 30. Altersjahr für unentgeltliche leitende, betreuende oder beratende Tätigkeit im Rahmen ausserschulischer Jugendarbeit in einer kulturellen oder sozialen Organisation sowie für die dazu notwendige Aus- und Weiterbildung jedes Dienstjahr Jugendurlaub bis zu insgesamt einer Arbeitswoche zu gewähren. Der Arbeitnehmer hat während des Jugendurlaubs keinen Lohnanspruch. Durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann zugunsten des Arbeitnehmers eine andere Regelung getroffen werden. Über den Zeitpunkt und die Dauer des Jugendurlaubs einigen sich Arbeitgeber und Arbeitnehmer; sie berücksichtigen dabei ihre beidseitigen Interessen. Kommt eine Einigung nicht zustande, dann muss der Jugendurlaub gewährt werden, wenn der Arbeitnehmer dem Arbeitgeber die Geltendmachung seines Anspruches zwei Monate im Voraus angezeigt hat. Nicht bezogene Jugendurlaubstage verfallen am Ende des Kalenderjahres. Der Arbeitnehmer hat auf Verlangen des Arbeitgebers seine Tätigkeiten und Funktionen in der Jugendarbeit nachzuweisen.";para_1 para_2 para_3 para_4;"Der Arbeitgeber hat dem Arbeitnehmer bis zum vollendeten 30. Altersjahr für unentgeltliche leitende, betreuende oder beratende Tätigkeit im Rahmen ausserschulischer Jugendarbeit in einer kulturellen oder sozialen Organisation sowie für die dazu notwendige Aus- und Weiterbildung jedes Dienstjahr Jugendurlaub bis zu insgesamt einer Arbeitswoche zu gewähren. Der Arbeitnehmer hat während des Jugendurlaubs keinen Lohnanspruch. Durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann zugunsten des Arbeitnehmers eine andere Regelung getroffen werden. Über den Zeitpunkt und die Dauer des Jugendurlaubs einigen sich Arbeitgeber und Arbeitnehmer; sie berücksichtigen dabei ihre beidseitigen Interessen. Kommt eine Einigung nicht zustande, dann muss der Jugendurlaub gewährt werden, wenn der Arbeitnehmer dem Arbeitgeber die Geltendmachung seines Anspruches zwei Monate im Voraus angezeigt hat. Nicht bezogene Jugendurlaubstage verfallen am Ende des Kalenderjahres. Der Arbeitnehmer hat auf Verlangen des Arbeitgebers seine Tätigkeiten und Funktionen in der Jugendarbeit nachzuweisen."
30;VIII. Freizeit, Ferien und Urlaub;art_329_f;"Nach der Niederkunft hat die Arbeitnehmerin Anspruch auf einen Mutterschaftsurlaub von mindestens 14 Wochen. Bei Hospitalisierung des Neugeborenen verlängert sich der Mutterschaftsurlaub um die verlängerte Dauer der Ausrichtung der Mutterschaftsentschädigung. Im Falle des Todes des andern Elternteils während der sechs Monate nach der Geburt des Kindes hat die Arbeitnehmerin Anspruch auf zwei Wochen zusätzlichen Urlaub; sie kann diesen Urlaub innert einer Rahmenfrist von sechs Monaten ab dem Tag nach dem Tod wochen- oder tageweise beziehen.";para_1 para_2 para_3;"Nach der Niederkunft hat die Arbeitnehmerin Anspruch auf einen Mutterschaftsurlaub von mindestens 14 Wochen. {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/2021/288', 'b': '2021', '#text': 'AS  288'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2019/9', 'b': '2019', '#text': 'BBl  141'}], '#text': 'Eingefügt durch Ziff. II des BG vom 18. Dez. 2020, in Kraft seit 1. Juli 2021  (; ).'}}, '#text': 'Bei Hospitalisierung des Neugeborenen verlängert sich der Mutterschaftsurlaub um die verlängerte Dauer der Ausrichtung der Mutterschaftsentschädigung.'} {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/2023/680', 'b': '2023', '#text': 'AS  680'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2022/2515', 'b': '2022', '#text': 'BBl  2515'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2022/2742', '#text': '2742'}], '#text': 'Eingefügt durch Anhang Ziff. 1 des BG vom 17. März 2023 (Taggelder für den hinterlassenen Elternteil), in Kraft seit 1. Jan. 2024 (; , ).'}}, '#text': 'Im Falle des Todes des andern Elternteils während der sechs Monate nach der Geburt des Kindes hat die Arbeitnehmerin Anspruch auf zwei Wochen zusätzlichen Urlaub; sie kann diesen Urlaub innert einer Rahmenfrist von sechs Monaten ab dem Tag nach dem Tod wochen- oder tageweise beziehen.'}"
31;VIII. Freizeit, Ferien und Urlaub;art_329_g;Der Urlaub muss innert der sechs Monate nach der Geburt des Kindes bezogen werden. Diese Frist steht während des Urlaubs nach Artikel 329 still. Der Urlaub kann wochen- oder tageweise bezogen werden.;para_2 para_3;{'i': 'g', 'sup': 'bis', '#text': 'Der Urlaub muss innert der sechs Monate nach der Geburt des Kindes bezogen werden. Diese Frist steht während des Urlaubs nach Artikel\xa0329 still.'} Der Urlaub kann wochen- oder tageweise bezogen werden.
32;VIII. Freizeit, Ferien und Urlaub;art_329_g_bis;"Stirbt die Mutter am Tag der Niederkunft oder während der 14 Wochen danach, so hat der andere Elternteil Anspruch auf einen Urlaub von 14 Wochen; dieser Urlaub muss ab dem Tag nach dem Tod an aufeinanderfolgenden Tagen bezogen werden. Der andere Elternteil hat Anspruch auf den Urlaub, wenn das Kindesverhältnis am Todestag begründet ist oder während der 14 Wochen danach begründet wird. Bei Hospitalisierung des Neugeborenen nach Artikel 329 Absatz 2 verlängert sich der Urlaub nach Absatz 1 um die Dauer der Hospitalisierung, höchstens jedoch um acht Wochen.";para_1 para_2 para_3;"Stirbt die Mutter am Tag der Niederkunft oder während der 14 Wochen danach, so hat der andere Elternteil Anspruch auf einen Urlaub von 14 Wochen; dieser Urlaub muss ab dem Tag nach dem Tod an aufeinanderfolgenden Tagen bezogen werden. Der andere Elternteil hat Anspruch auf den Urlaub, wenn das Kindesverhältnis am Todestag begründet ist oder während der 14 Wochen danach begründet wird. {'i': 'f', '#text': 'Bei Hospitalisierung des Neugeborenen nach Artikel 329 Absatz 2 verlängert sich der Urlaub nach Absatz 1 um die Dauer der Hospitalisierung, höchstens jedoch um acht Wochen.'}"
33;VIII. Freizeit, Ferien und Urlaub;art_329_h;"Die Arbeitnehmerin oder der Arbeitnehmer hat Anspruch auf bezahlten Urlaub für die Zeit, die zur Betreuung eines Familienmitglieds, der Lebenspartnerin oder des Lebenspartners mit gesundheitlicher Beeinträchtigung notwendig ist; der Urlaub beträgt jedoch höchstens drei Tage pro Ereignis und höchstens zehn Tage pro Jahr.";para;"Die Arbeitnehmerin oder der Arbeitnehmer hat Anspruch auf bezahlten Urlaub für die Zeit, die zur Betreuung eines Familienmitglieds, der Lebenspartnerin oder des Lebenspartners mit gesundheitlicher Beeinträchtigung notwendig ist; der Urlaub beträgt jedoch höchstens drei Tage pro Ereignis und höchstens zehn Tage pro Jahr."
34;VIII. Freizeit, Ferien und Urlaub;art_329_i;Hat die Arbeitnehmerin oder der Arbeitnehmer Anspruch auf eine Betreuungsentschädigung nach den Artikeln , weil ihr oder sein Kind wegen Krankheit oder Unfall gesundheitlich schwer beeinträchtigt ist, so hat sie oder er Anspruch auf einen Betreuungsurlaub von höchstens 14 Wochen. Der Betreuungsurlaub ist innerhalb einer Rahmenfrist von 18 Monaten zu beziehen. Die Rahmenfrist beginnt mit dem Tag, für den das erste Taggeld bezogen wird. Sind beide Eltern Arbeitnehmende, so hat jeder Elternteil Anspruch auf einen Betreuungsurlaub von höchstens sieben Wochen. Sie können eine abweichende Aufteilung des Urlaubs wählen. Der Urlaub kann am Stück oder tageweise bezogen werden. Der Arbeitgeber ist über die Modalitäten des Urlaubsbezugs sowie über Änderungen unverzüglich zu informieren.;para_1 para_2 para_3 para_4 para_5;{'span': ['16', '–16', 'EOG'], 'i': [{'span': 'n'}, {'span': 's'}], 'authorialNote': {'p': {'ref': {'@href': 'https://fedlex.data.admin.ch/eli/cc/1952/1021_1046_1050', 'b': '834.1', '#text': 'SR'}}}, '#text': 'Hat die Arbeitnehmerin oder der Arbeitnehmer Anspruch auf eine Betreuungsentschädigung nach den Artikeln , weil ihr oder sein Kind wegen Krankheit oder Unfall gesundheitlich schwer beeinträchtigt ist, so hat sie oder er Anspruch auf einen Betreuungsurlaub von höchstens 14 Wochen.'} Der Betreuungsurlaub ist innerhalb einer Rahmenfrist von 18 Monaten zu beziehen. Die Rahmenfrist beginnt mit dem Tag, für den das erste Taggeld bezogen wird. Sind beide Eltern Arbeitnehmende, so hat jeder Elternteil Anspruch auf einen Betreuungsurlaub von höchstens sieben Wochen. Sie können eine abweichende Aufteilung des Urlaubs wählen. Der Urlaub kann am Stück oder tageweise bezogen werden. Der Arbeitgeber ist über die Modalitäten des Urlaubsbezugs sowie über Änderungen unverzüglich zu informieren.
35;VIII. Freizeit, Ferien und Urlaub;art_329_j;Nimmt die Arbeitnehmerin oder der Arbeitnehmer ein Kind zur Adoption auf, so hat sie oder er bei Erfüllen der Voraussetzungen gemäss Artikel 16 EOG Anspruch auf einen Adoptionsurlaub von zwei Wochen. Der Adoptionsurlaub muss innerhalb des ersten Jahres nach Aufnahme des Kindes bezogen werden. Er kann von einem Elternteil bezogen oder unter den Eltern aufgeteilt werden. Ein gleichzeitiger Bezug ist ausgeschlossen. Er kann wochen- oder tageweise bezogen werden.;para_1 para_2 para_3 para_4;{'i': 't', 'authorialNote': {'p': {'ref': {'@href': 'https://fedlex.data.admin.ch/eli/cc/1952/1021_1046_1050', 'b': '834.1', '#text': 'SR'}}}, '#text': 'Nimmt die Arbeitnehmerin oder der Arbeitnehmer ein Kind zur Adoption auf, so hat sie oder er bei Erfüllen der Voraussetzungen gemäss Artikel 16 EOG Anspruch auf einen Adoptionsurlaub von zwei Wochen.'} Der Adoptionsurlaub muss innerhalb des ersten Jahres nach Aufnahme des Kindes bezogen werden. Er kann von einem Elternteil bezogen oder unter den Eltern aufgeteilt werden. Ein gleichzeitiger Bezug ist ausgeschlossen. Er kann wochen- oder tageweise bezogen werden.
